Word,Score
re,2.350113492259402
run,2.1935688087670675
associate,2.1882125041579945
spread,2.1077614259130795
split,2.1013276607068816
set,2.080779330824078
welcome,2.075869296697727
counter,2.059760252644566
co,2.054373521878861
cross,2.010884021507555
rebel,1.9956364132813587
interstate,1.9892733401659601
under,1.9877733714879842
mature,1.9852281360342512
reverse,1.9701247407004667
cast,1.9626336281201346
correspond,1.9580595428376295
lay,1.9556965270257989
unified,1.9437545839367454
northeast,1.9431766843351304
hit,1.9381622288014788
close,1.936810433929873
d,1.9363348190250749
lead,1.9254163678026417
resemble,1.9179044012384447
m,1.8951026026932272
larvae,1.8879185026711327
pledge,1.8879185026711325
hunt,1.8863082816921721
annelid,1.8843456730887849
express,1.8792671682576172
mod,1.8739424431365226
cut,1.868040764937664
challenge,1.8660544624145494
sung,1.859879028736861
touch,1.8527275349733678
walk,1.8464393446710154
encounters,1.8448819354293253
live,1.8431831614590664
allied,1.8371270588926945
sub,1.8314652837358714
off,1.8250406078931816
rent,1.823067982273661
encompass,1.8230264907128848
show,1.8021810417707167
chartered,1.8016094970590275
monitor,1.800924277228159
lie,1.7961481136158637
read,1.7925240223529422
micro,1.789929075309999
displace,1.789929075309999
friar,1.789929075309999
promise,1.7863012011716395
align,1.781937063546704
northwest,1.7777307230221289
migrate,1.7767593898218648
solo,1.768241790913703
grant,1.765101932707249
talk,1.7629318074149194
delegate,1.7527152789797047
',1.7508072359050908
monarchs,1.7496365577208821
bear,1.7416838940090766
originates,1.7381493331928664
broadcast,1.7379021776128774
limited,1.730138864603024
watch,1.7291512326266534
fine,1.727953593276768
differentiate,1.7232314287976207
hope,1.7079743070611397
select,1.6992365361682793
count,1.6976456713465746
southwest,1.6976152505580995
drive,1.6959596798158112
federalist,1.6798394050793182
rename,1.6737949406953985
upset,1.6729330318733675
plain,1.6699095137731645
preview,1.6673395705257974
telecommunications,1.6663716187938953
hurt,1.6660563421790617
authorized,1.6644977792004614
put,1.6604617529331216
struggle,1.6538825740766214
lakes,1.6511972890007982
lossless,1.650022421648354
descend,1.6493974703476992
ride,1.6493974703476992
lock,1.6457113704075783
mark,1.644522163469837
weigh,1.6403360647604435
mandate,1.6393210497942587
perceive,1.6387586809150083
lp,1.6382533594712747
police,1.6358217181309662
link,1.6349058889662498
love,1.6297242460678847
furthest,1.617189572592715
appeal,1.6171764476037533
let,1.6152534083238568
nm,1.6140054628542202
delay,1.610577243331642
inland,1.610577243331642
need,1.6101212897225965
pop,1.6081976602927832
elect,1.6072950484046047
further,1.6028413978136884
occupy,1.6020674497745895
supplement,1.5954618442383217
breed,1.5930363655719015
aligned,1.5920001314822054
enable,1.5920001314822054
revised,1.5919171866886992
x,1.5875315378768733
cardinal,1.5847023916330276
saving,1.5837730791644518
represent,1.5821011712169948
-,1.5803255060887345
post,1.5802052306578382
suffix,1.579434002924965
prepared,1.579434002924965
report,1.5776931605600684
hills,1.577428772913488
compressed,1.5744174271404585
angiosperm,1.573402452417767
graduate,1.5734009671241873
offensive,1.5731146182710192
cry,1.5726236638951638
twin,1.5726236638951638
fit,1.5715416718219246
alter,1.5694320362548182
consist,1.5693598732054954
advocate,1.5674849873019705
trans,1.565596230357602
ignore,1.5650052234382272
start,1.5633620105942492
infrared,1.562122850253961
trace,1.560535827619494
shut,1.559403357108041
mean,1.558862667802398
register,1.5576558943605296
led,1.5548903487304016
forth,1.5546097612655665
tigers,1.5545851693377994
possess,1.5540126923129332
famine,1.5539161412049185
conclude,1.55352095112747
finance,1.5514183947161677
round,1.5487490796933767
apostles,1.5485806065228545
wake,1.5485806065228545
wish,1.5485806065228545
sound,1.5483697344915317
axis,1.5430224942057837
finish,1.5426363677785322
compare,1.5421421080192985
concentrate,1.541982284286398
samoans,1.541982284286398
listening,1.5410078709714834
darker,1.5408072197905878
broadcasting,1.5398439841156164
inhabit,1.5394910703001345
paved,1.5394847569315018
assembled,1.5394847569315018
servo,1.5394847569315018
relaxed,1.5394847569315018
improved,1.538963788545359
thought,1.5379610581546335
studios,1.5367492086693035
married,1.5344945355920883
accuse,1.5343371980653047
drum,1.533206219346495
boycott,1.532914563979398
roll,1.532914563979398
pointed,1.531887389433089
versailles,1.5306189948485172
lords,1.5304930567574826
experience,1.5297040930081423
like,1.5294283316328894
concentrated,1.5285040787412214
struck,1.5275070675902451
geese,1.5262349099495227
overlap,1.5262349099495227
merge,1.5262349099495225
silver,1.52550204537817
fall,1.524908520867736
right,1.524270527261225
use,1.5237842692634047
interior,1.5229320406896163
elevated,1.522189872165821
jaws,1.522189872165821
theorem,1.5216406363433184
affect,1.5211002077033817
terminal,1.5210479133882489
gay,1.5203750945933545
offer,1.5177167487464742
review,1.517540556136079
epic,1.5164336144561052
assistant,1.5156546557441946
standardized,1.514802910385893
permit,1.513784724225434
search,1.5136629303435578
lithuanian,1.5090275125326515
coral,1.508712260125146
look,1.507525567338563
shot,1.5063300663882573
massacre,1.5053128791540096
retired,1.5052408149441479
awards,1.5050434931985568
underground,1.5003568009438975
maps,1.5002723456084084
condemn,1.5002723456084084
worry,1.5
guarantee,1.4970151057384782
specify,1.495538029919111
enhanced,1.4949188482339508
surprised,1.4949188482339508
command,1.493620594416433
trustees,1.4926140680171258
